Slang/Meme Text,Standard Translation,Language,Type,Normalized_Text,Normalized_Translation
scene tight tha 😂,it was great / perfect.,Hinglish,Meme,scene tight was laughing hard,it was great / perfect.
bhai ne dil jeet liya ❤️,bro won everyone’s heart.,Hinglish,Slang,brother ne dil jeet liya love,bro won everyone’s heart.
bro turned sarcasm into a lifestyle 😎,he lives through witty humor.,English,Slang,bro turned sarcasm into a lifestyle cool,he lives through witty humor.
bro’s aim is on point 🎯,his target is perfect.,English,Slang,bro’s aim is on point on point,his target is perfect.
bhai ne comeback diya aur sab chup 🫢,he gave a comeback and shut everyone up.,Hinglish,Slang,brother ne comeback diya aur sab chup 🫢,he gave a comeback and shut everyone up.
my phone battery dies faster than my motivation 🔋,motivation drains instantly.,English,Meme,my phone battery dies faster than my motivation 🔋,motivation drains instantly.
bhai ne clapback diya toh sab silent ho gaye 😮‍💨,his comeback silenced everyone.,Hinglish,Slang,brother ne clapback diya toh sab silent ho gaye surprised ‍ speed,his comeback silenced everyone.
this filter hits different 🤳,this filter looks special.,English,Meme,this filter hits different selfie,this filter looks special.
yaar ne photo daali aur comment section blast ho gaya 💥,my friend posted a photo and comments exploded.,Hinglish,Meme,friend ne photo daali aur comment section blast ho gaya explosive,my friend posted a photo and comments exploded.
that photo said “main character” 🎥,it looks cinematic.,English,Meme,that photo said “main character” video,it looks cinematic.
ye toh bhai ka w moment hai 🏆,that’s a winning moment for bro.,Hinglish,Meme,this toh brother ka w moment is trophy,that’s a winning moment for bro.
bhai ne vibe change kar di 🔥,bro changed the vibe.,Hinglish,Slang,brother ne vibe change kar di amazing,bro changed the atmosphere.
plot armor activated 💪,somehow avoided a bad situation.,English,Slang,plot armor activated strong,somehow avoided a bad situation.
my resting face is “existential dread” 😐,i look stressed even when calm.,English,Meme,my resting face is “existential dread” neutral,i look stressed even when calm.
bhai ne chill karne ka phd kiya hai 😌,he’s a master in the art of chilling.,Hinglish,Slang,brother ne chill karne ka phd kiya is relieved,he’s a master in the art of chilling.
my brain is premium-level lazy 🛋️,i don’t feel like doing anything.,English,Meme,my brain is premium-level lazy 🛋️,i don’t feel like doing anything.
made eye contact with responsibility and looked away 👀,i purposely ignored tasks.,English,Meme,made eye contact with responsibility and looked away watching closely,i purposely ignored tasks.
bro’s energy unmatched 🔥,he’s vibing at another level.,English,Slang,bro’s energy unmatched amazing,he’s vibing at another level.
aaj toh motivation ne bhi leave le liya 😴,even my motivation took the day off today.,Hinglish,Meme,aaj toh motivation ne bhi leave le liya 😴,even my motivation took the day off today.
big w energy 💪,feeling victorious.,English,Slang,big w energy strong,feeling victorious.
bhai ne script ulta kar diya 😎,bro flipped the situation.,Hinglish,Slang,brother ne script ulta kar diya cool,bro flipped the situation.
