Slang/Meme Text,Standard Translation,Language,Type,Normalized_Text,Normalized_Translation
bruh that exam was lit 🔥,that exam was amazing.,English,Slang,brother that exam was exciting amazing,that exam was amazing.
that pizza slaps 🍕🔥,that pizza tastes incredible.,English,Slang,that pizza tastes great 🍕 amazing,that pizza tastes incredible.
"no cap, that was fire 🔥","seriously, that was awesome.",English,Slang,"no lie, that was amazing amazing","seriously, that was awesome."
"sheesh, that outfit’s clean 👌","wow, that outfit looks great.",English,Slang,"sheesh, that outfit’s clean excellent","wow, that outfit looks great."
this party’s a whole vibe 🎉,this party feels amazing.,English,Meme,this party’s a whole atmosphere celebrating,this party feels amazing.
that joke hit different 😂,that joke was especially funny.,English,Meme,that joke hit different laughing hard,that joke was especially funny.
he’s built different 💪,he’s very unique and strong.,English,Slang,he’s built different 💪,he’s very unique and strong.
that car looks sick 🚗🔥,that car looks amazing.,English,Slang,that car looks impressive 🚗 amazing,that car looks amazing.
this song hits hard 🎶,this song sounds powerful.,English,Slang,this song hits hard 🎶,this song sounds powerful.
bro’s down bad 😭,he’s really struggling emotionally.,English,Slang,bro’s down bad crying,he’s really struggling emotionally.
that’s tough 😬,that’s difficult or unfortunate.,English,Slang,that’s tough 😬,that’s difficult or unfortunate.
big w for the team 🏆,a great win for the team.,English,Meme,big w for the team 🏆,a great win for the team.
this ain’t it chief 🙅,this is not good or right.,English,Slang,this ain’t it chief 🙅,this is not good or right.
he’s got the drip 💧,he has great fashion style.,English,Slang,he’s got the drip 💧,he has great fashion style.
l moment 😭,a losing or embarrassing moment.,English,Meme,l moment crying,a losing or embarrassing moment.
that’s a big flex 😎,that’s an impressive thing to show off.,English,Slang,that’s a big show off cool,that’s an impressive thing to show off.
bro’s living rent free in my head 🧠,i can’t stop thinking about him.,English,Meme,bro’s living rent free in my head 🧠,i can’t stop thinking about him.
that joke was mid 😐,that joke was average.,English,Slang,that joke was mid 😐,that joke was average.
i can’t even 😂,i’m laughing too hard to react.,English,Meme,i can’t even laughing hard,i’m laughing too hard to react.
this place is bussin 🍔🔥,this food/place is really good.,English,Slang,this place is bussin 🍔 amazing,this food/place is really good.
"lowkey, i liked it","secretly, i liked it.",English,Slang,"lowkey, i liked it","secretly, i liked it."
"highkey, that was bad 😬","honestly, that was bad.",English,Slang,"highkey, that was bad 😬","honestly, that was bad."
he’s the goat 🐐,he’s the greatest of all time.,English,Slang,he’s the goat 🐐,he’s the greatest of all time.
that was a major l 😭,that was a huge failure.,English,Meme,that was a major l crying,that was a huge failure.
keep the same energy 💪,stay consistent in behavior.,English,Slang,keep the same energy 💪,stay consistent in behavior.
he understood the assignment 🎯,he did everything perfectly.,English,Meme,he understood the assignment 🎯,he did everything perfectly.
touch grass 🌱,"go outside, get a life.",English,Meme,touch grass 🌱,"go outside, get a life."
this is giving main character vibes ✨,feels like a hero moment.,English,Meme,this is giving main character vibes sparkling,feels like a hero moment.
you ate and left no crumbs 👏,you did that perfectly.,English,Slang,you ate and left no crumbs 👏,you did that perfectly.
this movie’s a banger 🎬🔥,this movie is excellent.,English,Slang,this movie’s a banger 🎬 amazing,this movie is excellent.
bro’s wildin out 😂,he’s acting crazy.,English,Slang,bro’s wildin out laughing hard,he’s acting crazy.
that’s sus 🤨,that’s suspicious.,English,Slang,that’s suspicious 🤨,that’s suspicious.
big brain move 🧠,a very smart decision.,English,Meme,big brain move 🧠,a very smart decision.
take the l 💀,accept your loss.,English,Meme,take the l dying of laughter,accept your loss.
that haircut’s clean ✂️,that haircut looks really good.,English,Slang,that haircut’s clean ✂️,that haircut looks really good.
stop the cap 🧢,stop lying.,English,Slang,stop the lie 🧢,stop lying.
it’s the vibe for me ✨,i like the mood of this.,English,Meme,it’s the atmosphere for me sparkling,i like the mood of this.
he’s in his villain arc 😈,he’s becoming more confident/bold.,English,Meme,he’s in his villain arc 😈,he’s becoming more confident/bold.
that’s peak behavior 💯,that’s the best possible way.,English,Slang,that’s peak behavior perfect,that’s the best possible way.
he’s cooked 😂,he’s done for / in trouble.,English,Meme,he’s cooked laughing hard,he’s done for / in trouble.
say less 👌,got it / understood.,English,Slang,say less excellent,got it / understood.
this photo goes hard 📸🔥,this photo looks amazing.,English,Meme,this photo goes hard 📸 amazing,this photo looks amazing.
that’s cold 🥶,that’s savage or impressive.,English,Slang,that’s cold cold,that’s savage or impressive.
you’re built like that 💪,you’re capable and strong.,English,Slang,you’re built like that 💪,you’re capable and strong.
that’s wild 😳,that’s unbelievable.,English,Meme,that’s wild 😳,that’s unbelievable.
bro’s cooked 💀,he’s finished / messed up.,English,Meme,bro’s cooked dying of laughter,he’s finished / messed up.
big yikes 😬,that’s awkward or bad.,English,Slang,big yikes 😬,that’s awkward or bad.
ain’t no way 😭,i can’t believe this.,English,Meme,ain’t no way crying,i can’t believe this.
bro got humbled fast 😭,he was brought back to reality.,English,Meme,bro got humbled fast crying,he was brought back to reality.
that’s valid 💯,that’s fair or acceptable.,English,Slang,that’s valid perfect,that’s fair or acceptable.
bro kal ka match op tha 😂🔥,yesterday’s match was awesome.,Hinglish,Meme,brother kal ka match outstanding was laughing hard amazing,yesterday’s match was awesome.
bhai scene kya hai? 😎,"what’s going on, bro?",Hinglish,Slang,brother scene what is? cool,"what’s going on, bro?"
yaar mood off ho gaya 😒,i’m not in a good mood.,Hinglish,Slang,friend mood off ho gaya 😒,i’m not in a good mood.
ye toh full paisa vasool tha 😂,that was totally worth it.,Hinglish,Meme,this toh full paisa vasool was laughing hard,that was totally worth it.
bhai ye toh too much ho gaya 🤣,"bro, that was too much.",Hinglish,Meme,brother this toh too much ho gaya laughing very hard,"bro, that was too much."
abey tu serious hai kya 😳,are you serious?,Hinglish,Slang,abey tu serious is what 😳,are you serious?
bhai op gameplay 💪,that was amazing gameplay.,Hinglish,Meme,brother outstanding gameplay 💪,that was amazing gameplay.
mast vibes aa rahi hai 🔥,the vibes are great.,Hinglish,Slang,excellent vibes aa rahi is amazing,the vibes are great.
yaar chill maar 😌,"calm down, buddy.",Hinglish,Slang,friend chill maar 😌,"calm down, buddy."
bhai ne toh kamaal kar diya 😎,he did an amazing job.,Hinglish,Meme,brother ne toh kamaal kar diya cool,he did an amazing job.
ye toh lit tha 🔥,that was awesome.,Hinglish,Slang,this toh lit was amazing,that was awesome.
scene tight tha 😂,it was great / perfect.,Hinglish,Meme,scene tight was laughing hard,it was great / perfect.
mujhe toh jhatka lag gaya 😳,i was shocked.,Hinglish,Meme,mujhe toh jhatka lag gaya 😳,i was shocked.
bhai ye kya jugad hai 🤔,what kind of hack is this?,Hinglish,Slang,brother this what jugad is thinking,what kind of hack is this?
ye toh savage tha 😈,that was savage.,Hinglish,Slang,this toh savage was 😈,that was savage.
timepass chal raha hai 😅,just passing time.,Hinglish,Slang,timepass chal raha is 😅,just passing time.
